image1;image2;similar;elapsed
/app/tests/img/img-008.png;/app/tests/img/img-013.jpg;1;4.59
/app/tests/img/img-009.gif;/app/tests/img/img-001.jpeg;1;3.62
/app/tests/img/img-009.gif;/app/tests/img/img-002.png;1;4.37
/app/tests/img/img-009.gif;/app/tests/img/img-003.gif;1;3.1
/app/tests/img/img-009.gif;/app/tests/img/img-004.jpeg;1;2.37
/app/tests/img/img-009.gif;/app/tests/img/img-005.png;1;5.14
/app/tests/img/img-009.gif;/app/tests/img/img-006.gif;1;5.45
/app/tests/img/img-009.gif;/app/tests/img/img-007.jpeg;0;3.31
/app/tests/img/img-009.gif;/app/tests/img/img-008.png;0;3.26
/app/tests/img/img-009.gif;/app/tests/img/img-009.gif;0;2.85
/app/tests/img/img-009.gif;/app/tests/img/img-010.jpg;1;2.99
/app/tests/img/img-009.gif;/app/tests/img/img-011.jpg;1;2.85
/app/tests/img/img-009.gif;/app/tests/img/img-012.jpg;1;2.73
/app/tests/img/img-009.gif;/app/tests/img/img-013.jpg;1;3.28
/app/tests/img/img-010.jpg;/app/tests/img/img-001.jpeg;1;3.3
/app/tests/img/img-010.jpg;/app/tests/img/img-002.png;1;3.18
/app/tests/img/img-010.jpg;/app/tests/img/img-003.gif;1;3.28
/app/tests/img/img-010.jpg;/app/tests/img/img-004.jpeg;1;2.8
/app/tests/img/img-010.jpg;/app/tests/img/img-005.png;1;3.03
/app/tests/img/img-010.jpg;/app/tests/img/img-006.gif;1;3.12
/app/tests/img/img-010.jpg;/app/tests/img/img-007.jpeg;1;2.94
/app/tests/img/img-010.jpg;/app/tests/img/img-008.png;1;3.71
/app/tests/img/img-010.jpg;/app/tests/img/img-009.gif;1;3.39
/app/tests/img/img-010.jpg;/app/tests/img/img-010.jpg;0;3.44
/app/tests/img/img-010.jpg;/app/tests/img/img-011.jpg;0.5;3.93
/app/tests/img/img-010.jpg;/app/tests/img/img-012.jpg;1;3.08
